County,Name,Type,City,Zip,Latitude,Longitude
Contra Costa,Black Diamond Middle,Middle,Antioch,94531,37.97002,-121.76724
Contra Costa,Grant Elementary,Elementary,Antioch,94531,37.9859,-121.7686
Contra Costa,Antioch Charter Academy,Elementary,Antioch,94509,37.98834,-121.82677
Contra Costa,Diablo Vista Elementary,Elementary,Antioch,94531,37.95816,-121.77059
Contra Costa,Vicente Martinez High,Continuation,Martinez,94553,38.01533,-122.13172
Contra Costa,Briones (Alternative),Alternative Schools of Choice,Martinez,94553,38.01533,-122.13173
Contra Costa,Alhambra Senior High,High,Martinez,94553,38.00181,-122.13429
Contra Costa,John Muir Elementary,Elementary,Martinez,94553,38.00007,-122.12009
Contra Costa,John Swett Elementary,Elementary,Martinez,94553,37.98149,-122.1243
Contra Costa,Las Juntas Elementary,Elementary,Martinez,94553,38.00828,-122.09269
Contra Costa,Morello Park Elementary,Elementary,Martinez,94553,38.00136,-122.09889
Contra Costa,Martinez Junior High,Middle,Martinez,94553,38.01331,-122.13044
Contra Costa,Delta View Elementary,Elementary,Pittsburg,94565,38.01172,-121.96691
Contra Costa,Holbrook Language Academy,Elementary,Concord,94519,37.99331,-122.02707
Contra Costa,Crossroads High,Alternative Schools of Choice,Concord,94519,37.9796,-122.02771
Contra Costa,Glenbrook Academy,Special Education,Concord,94520,37.99549499,-122.035949
Contra Costa,Horizons School: Independent Study,Alternative Schools of Choice,Pleasant Hill,94523,37.937253,-122.06659
Contra Costa,Prospect High (Continuation),Continuation,Pleasant Hill,94523,37.937253,-122.06659
Contra Costa,Summit High (Continuation),Continuation,Concord,94521,37.97779,-121.98832
Contra Costa,Diablo Community Day,Community Day,Concord,94518,37.94493,-122.0442
Contra Costa,College Park High,High,Pleasant Hill,94523,37.96502,-122.06987
Contra Costa,Concord High,High,Concord,94521,37.97802,-121.98894
Contra Costa,Mt. Diablo High,High,Concord,94520,37.98303,-122.03585
Contra Costa,Olympic Continuation High,Continuation,Concord,94519,37.97978,-122.02821
Contra Costa,Ygnacio Valley High,High,Concord,94518,37.934155,-122.02679
Contra Costa,Ayers Elementary,Elementary,Concord,94521,37.96572,-121.96061
Contra Costa,Bel Air Elementary,Elementary,Bay Point,94565,38.02039,-121.93797
Contra Costa,Cambridge Elementary,Elementary,Concord,94520,37.95434,-122.04539
Contra Costa,El Dorado Middle,Middle,Concord,94521,37.97646,-121.99085
Contra Costa,El Monte Elementary,Elementary,Concord,94518,37.96809,-122.01294
Contra Costa,Fair Oaks Elementary,Elementary,Pleasant Hill,94523,37.94445,-122.05064
Contra Costa,Hidden Valley Elementary,Elementary,Martinez,94553,37.98251,-122.0891
Contra Costa,Highlands Elementary,Elementary,Concord,94521,37.94214,-121.957
Contra Costa,Meadow Homes Elementary,Elementary,Concord,94520,37.9655,-122.04
Contra Costa,Monte Gardens Elementary,Elementary,Concord,94519,37.98745,-122.00503
Contra Costa,Mountain View Elementary,Elementary,Concord,94521,37.96976,-121.98057
Contra Costa,Oak Grove Middle,Middle,Concord,94518,37.93919,-122.03436
Contra Costa,Pine Hollow Middle,Middle,Concord,94521,37.94084,-121.95495
Contra Costa,Sunrise (Special Education),Special Education,Concord,94519,37.98528,-122.0032
Contra Costa,Pleasant Hill Elementary,Elementary,Pleasant Hill,94523,37.93286,-122.08323
Contra Costa,Sequoia Elementary,Elementary,Pleasant Hill,94523,37.94411,-122.06905
Contra Costa,Riverview Middle,Middle,Bay Point,94565,38.03317,-121.96666
Contra Costa,Shore Acres Elementary,Elementary,Bay Point,94565,38.03566,-121.97006
Contra Costa,Silverwood Elementary,Elementary,Concord,94521,37.96335,-121.9721
Contra Costa,Strandwood Elementary,Elementary,Pleasant Hill,94523,37.95039,-122.07736
Contra Costa,Sun Terrace Elementary,Elementary,Concord,94520,38.00066,-122.02962
Contra Costa,Valhalla Elementary,Elementary,Pleasant Hill,94523,37.96753,-122.08081
Contra Costa,Valley View Middle,Middle,Pleasant Hill,94523,37.96531,-122.06752
Contra Costa,Westwood Elementary,Elementary,Concord,94521,37.9756,-121.99185
Contra Costa,Woodside Elementary,Elementary,Concord,94518,37.94004,-122.01851
Contra Costa,Wren Avenue Elementary,Elementary,Concord,94519,37.98079,-122.01587
Contra Costa,Ygnacio Valley Elementary,Elementary,Concord,94518,37.94984,-122.02971
Contra Costa,Rio Vista Elementary,Elementary,Bay Point,94565,38.03347,-121.97492
